syllable,p_stressed,p_long
wor,0.9939334384853654,0.9969230756171216
fremd,0.9090716893857789,0.9090719077348556
hörn,0.6666666666511628,0.6666666666511628
zest,0.14300390570935637,0.1668909823356835
mord',0.7499953452939938,0.7499998476110805
teos,0.20000001037713963,0.7999915210009955
chin,0.3333333333333333,0.5
schein',0.5986293513659876,0.5986293576519452
dächt,0.6666666666666666,0.6666666666666666
streck,0.9444188695683036,0.9444195305688478
sos',0.10000002503954082,0.24988138621287687
doh,0.7499948054798017,0.7499959370126605
bahr',0.6652944879833159,0.6652944879833159
ring',0.6661319258846834,0.6661319258930355
bricht,0.6527496175001917,0.7872620662484395
steur',0.6665198260276268,0.666659363140177
laßt,0.9628973685221568,0.9628973685221586
rings,0.8285369509400377,0.9959556078494537
reizt',0.8555021876435037,0.8555021876435037
wär's,0.4171050282223087,0.6165664144761408
delnd,0.02631616799584913,0.04180637587612958
gro,0.9882314005685974,0.9882314555785103
thä,0.6666666390037773,0.6666666390037773
merst,0.20000094705788246,0.2001592987240203
rüst,0.9300522298666875,0.9332965305350974
rühmt',0.6463544787082295,0.6463544787082295
phas,0.20000000000000004,0.2076297293259472
eil,0.9756095788701162,0.987803634022296
löst',0.9523478515751694,0.9523478903645097
leit',0.6666666666666666,0.6666666666666666
zag',0.6666666666666666,0.6666666666666666
soll,0.6380254897334274,0.7949721219606901
komm',0.8188146492653121,0.8188146492653121
heils,0.6249479798429911,0.8570138692404811
pri,0.994275072429628,0.9942851977004971
prak,0.6665967318104806,0.6665967318104806
lok,0.6262033363544183,0.7512033248347985
harr,0.9285713330255192,0.9285713330747981
heul,0.8332549280115363,0.833264697571322
andr',0.7498659340134075,0.7498659367788776
geb',0.9284297127736795,0.928429788591973
froh,0.45175560948799576,0.9486880574819403
test,0.007554435460359461,0.04567164213219643
zeug,0.9756097249440695,0.9756097308955273
pelnd,0.25093923297580895,0.2873157123763222
wand,0.9299677146938404,0.9894538838439365
gegn',0.666607954369336,0.6666100549896411
fleischt,0.9166480496159503,0.9166480496159837
schwes,0.9374997603618884,0.937499760709386
rest,0.11763051350213317,0.22706377659196836
nac,0.9615358555292317,0.9615361008494666
chi,0.3990683779428204,0.42849469262066636
heim,0.879125679853608,0.9935487827714846
dros',0.16674368801907988,0.3996609500935711
mehrt,0.6666648269560427,0.6666648272046328
spritzt,0.3333333333333333,0.5
spitzt,0.9090017421228418,0.9090017421228818
rat,0.8868059565148146,0.9923654221250021
men,0.19909607737136045,0.2612452743170657
schmäh',0.6666659143502461,0.6666659143502461
spit,0.982758590386342,0.9827585957742779
sprun,0.6666665203102758,0.6666665203112222
läo,0.25000342433139927,0.7499736853442266
meist,0.7981727537899823,0.7981727537899823
stief,0.33333333333333687,0.6647778964851091
räum',0.4999512347544089,0.7497504542021936
kämmt',0.6666666666666666,0.6666666666666666
bet,0.25838414576988794,0.7177344347057046
pört,0.8330668324614894,0.8330668324615176
',0.3333333333333333,0.3333333333343185
neop,0.33333375069432253,0.6666371420076479
ip,0.6666646940061772,0.6666646940061772
meers,0.970586883751821,0.9705868900062825
kannst,0.7998439084215109,0.7998439084215109
ig,0.3333477755956242,0.33506698632974624
schlich',0.6666493095149,0.6666493095149
glän,0.9791665104283229,0.9791665104398529
schwör',0.8984816271934289,0.8984816953909504
walds,0.1666666667969823,0.7499250685620908
nord,0.888888057567158,0.888888057567158
ein',0.7498768338951101,0.7498768338951101
tryn,0.5919295585036066,0.7888156506676116
kot,0.7464134873814431,0.7464139124903186
nen,0.01410394934743889,0.14287838437544936
schän,0.8333332240465211,0.8333332240465211
mahnt',0.9283940698303678,0.9283940771518416
pfand,0.7499943451635195,0.7499943529176624
kränkt,0.6728219399796155,0.6728219399796155
feis,0.6626745003282005,0.6626745003282005
rührt,0.8749589462239745,0.8749589497964535
drob,0.6666666666666666,0.6666666666666666
schmied,0.3333333333333333,0.5
