line_number,book_number,original_text
308,1,"Wie ein Vater zum Sohn, und nimmer werd' ich's vergessen."
309,1,"Aber verweile bei uns noch ein wenig, wie sehr du auch eilest;"
310,1,"Lieber, bade zuvor, und gib dem Herzen Erfrischung:"
311,1,"Daß du mit froherem Mut heimkehrest, und zu dem Schiffe"
312,1,"Bringest ein Ehrengeschenk, ein schönes köstliches Kleinod"
313,1,"Zum Andenken von mir, wie Freunde Freunden verehren."
314,1,Drauf antwortete Zeus' blauäugichte Tochter Athene:
315,1,Halte nicht länger mich auf; denn dringend sind meine Geschäfte.
316,1,"Dein Geschenk, das du mir im Herzen bestimmest, das gib mir,"
317,1,"Wann ich wiederkomme, damit ich zur Heimat es bringe;"
318,1,Und empfange dagegen von mir ein würdiges Kleinod.
319,1,"Also redete Zeus' blauäugichte Tochter, und eilend"
320,1,Flog wie ein Vogel sie durch den Kamin. Dem Jünglinge goß sie
321,1,"Kraft und Mut in die Brust, und fachte des Vaters Gedächtnis"
322,1,"Heller noch an, wie zuvor. Er empfand es im innersten Herzen,"
323,1,"Und erstaunte darob; ihm ahnete, daß es ein Gott war."
324,1,"Jetzo ging er zurück zu den Freiern, der göttliche Jüngling."
325,1,Vor den Freiern sang der berühmte Sänger; und schweigend
326,1,"Saßen sie all', und horchten. Er sang die traurige Heimfahrt,"
327,1,Welche Pallas Athene den Griechen von Troja beschieden.
328,1,Und im oberen Stock vernahm die himmlischen Töne
329,1,"Auch Ikarios Tochter, die kluge Penelopeia."
330,1,"Eilend stieg sie hinab die hohen Stufen der Wohnung,"
331,1,Nicht allein; sie wurde von zwo Jungfrauen begleitet.
332,1,"Als das göttliche Weib die Freier jetzo erreichte,"
333,1,Stand sie still an der Schwelle des schönen gewölbeten Saales;
334,1,"Ihre Wangen umwallte der feine Schleier des Hauptes,"
335,1,Und an jeglichem Arm stand eine der stattlichen Jungfraun.
336,1,"Tränend wandte sie sich zum göttlichen Sänger, und sagte:"
337,1,"Phemios, du weißt ja noch sonst viel reizende Lieder,"
338,1,"Taten der Menschen und Götter, die unter den Sängern berühmt sind;"
339,1,"Singe denn davon eins vor diesen Männern, und schweigend"
340,1,Trinke jeder den Wein. Allein mit jenem Gesange
341,1,"Quäle mich nicht, der stets mein armes Herz mir durchbohret."
342,1,Denn mich traf ja vor allen der unaussprechlichste Jammer!
343,1,"Ach den besten Gemahl bewein' ich, und denke beständig"
344,1,"Jenes Mannes, der weit durch Hellas und Argos berühmt ist!"
345,1,Und der verständige Jüngling Telemachos sagte dagegen:
346,1,"Meine Mutter, warum verargst du dem lieblichen Sänger,"
347,1,"Daß er mit Liedern uns reizt, wie sie dem Herzen entströmen?"
348,1,"Nicht die Sänger sind des zu beschuldigen, sondern allein Zeus,"
349,1,Welcher die Meister der Kunst nach seinem Gefallen begeistert.
350,1,"Zürne denn nicht, weil dieser die Leiden der Danaer singet;"
351,1,Denn der neuste Gesang erhält vor allen Gesängen
352,1,Immer das lauteste Lob der aufmerksamen Versammlung:
353,1,"Sondern stärke vielmehr auch deine Seele, zu hören."
354,1,Nicht Odysseus allein verlor den Tag der Zurückkunft
355,1,Unter den Troern; es sanken mit ihm viel andere Männer.
356,1,"Aber gehe nun heim, besorge deine Geschäfte,"
357,1,"Spindel und Webestuhl, und treib an beschiedener Arbeit"
358,1,"Deine Mägde zum Fleiß! Die Rede gebühret den Männern,"
359,1,Und vor allen mir; denn mein ist die Herrschaft im Hause!
360,1,"Staunend kehrte die Mutter zurück in ihre Gemächer,"
361,1,Und erwog im Herzen die kluge Rede des Sohnes.
362,1,"Als sie nun oben kam mit den Jungfraun, weinte sie wieder"
363,1,Ihren trauten Gemahl Odysseus; bis ihr Athene
364,1,Sanft mit süßem Schlummer die Augenlider betaute.
365,1,"Aber nun lärmten die Freier umher in dem schattichten Saale,"
366,1,"Denn sie wünschten sich alle, mit ihr das Bette zu teilen."
367,1,Und der verständige Jüngling Telemachos sprach zur Versammlung:
368,1,"Freier meiner Mutter, voll übermütiges Trotzes,"
369,1,"Freut euch jetzo des Mahls, und erhebt kein wüstes Getümmel!"
370,1,"Denn es füllt ja mit Wonne das Herz, dem Gesange zu horchen,"
371,1,"Wann ein Sänger, wie dieser, die Töne der Himmlischen nachahmt!"
372,1,Morgen wollen wir uns zu den Sitzen des Marktes versammeln;
373,1,"Daß ich euch allen dort freimütig und öffentlich rate,"
374,1,Mir aus dem Hause zu gehn! Sucht künftig andere Mähler;
375,1,"Zehret von euren Gütern, und laßt die Bewirtungen umgehn."
376,1,"Aber wenn ihr es so bequemer und lieblicher findet,"
377,1,"Eines Mannes Hab', ohn' alle Vergeltung zu fressen;"
378,1,"Schlingt sie hinab! Ich werde die ewigen Götter anflehn,"
379,1,"Ob euch nicht endlich einmal Zeus eure Taten bezahle,"
380,1,Daß ihr in unserm Haus' auch ohne Vergeltung dahinstürzt!
381,1,"Also sprach er; da bissen sie ringsumher sich die Lippen,"
382,1,"Über den Jüngling erstaunt, der so entschlossen geredet."
383,1,Aber Eupeithes' Sohn Antinoos gab ihm zur Antwort:
384,1,"Ei! dich lehren gewiß, Telemachos, selber die Götter,"
385,1,Vor der Versammlung so hoch und so entschlossen zu reden!
386,1,Daß Kronion dir ja die Herrschaft unseres Eilands
387,1,"Nicht vertraue, die dir von deinem Vater gebühret!"
388,1,Und der verständige Jüngling Telemachos sagte dagegen:
389,1,"O Antinoos, wirst du mir auch die Rede verargen?"
390,1,"Gerne nähm' ich sie an, wenn Zeus sie schenkte, die Herrschaft!"
391,1,"Oder meinst du, es sei das Schlechteste unter den Menschen?"
392,1,"Wahrlich, es ist nichts Schlechtes, zu herrschen; des Königes Haus wird"
393,1,"Schnell mit Schätzen erfüllt, er selber höher geachtet!"
394,1,Aber es wohnen ja sonst genug achaiische Fürsten
395,1,"In dem umfluteten Reiche von Ithaka, Jüngling' und Greise;"
396,1,"Nehm' es einer von diesen, wofern Odysseus gestorben!"
397,1,"Doch behalt' ich für mich die Herrschaft unseres Hauses,"
398,1,"Und der Knechte, die mir der edle Odysseus erbeutet!"
399,1,Aber Polybos' Sohn Eurymachos sagte dagegen:
400,1,"Dies, Telemachos, ruht im Schoße der seligen Götter,"
401,1,Wer das umflutete Reich von Ithaka künftig beherrschet;
