line_number,book_number,original_text
329,1,Ihn nun fanden sie dort am Gezelt und dunkelen Schiffe
330,1,"Sitzend; und traun, nicht wurde des Anblicks fröhlich Achilleus."
331,1,Beide bestürzt vor Scheu und Ehrfurcht gegen den König
332,1,"Standen, und wageten nichts zu verkündigen, oder zu fragen."
333,1,"Aber er selbst vernahm es in seinem Geist, und begann so:"
334,1,"Freude mit euch, Herold', ihr Boten Zeus und der Menschen!"
335,1,"Nahet euch! Ihr nicht seid mir Verschuldete; nur Agamemnon,"
336,1,Der euch beide gesandt um Brises rosige Tochter.
337,1,"Auf denn, führe heraus das Mägdelein, edler Patroklos,"
338,1,"Und laß jene sie nehmen. Doch sei'n sie selber mir Zeugen,"
339,1,"Vor den seligen Göttern, und vor den sterblichen Menschen,"
340,1,"Auch vor dem Könige dort, dem Wüterich: Wenn man hinfort noch"
341,1,"Meiner Hilfe bedarf, dem schmählichen Jammer zu steuern"
342,1,"Jenes Volks...! Ha, wahrlich, er tobt in verderblichem Wahnsinn,"
343,1,"Blind im Geiste zugleich vorwärts zu schauen und rückwärts,"
344,1,Daß bei den Schiffen er sichre das streitende Heer der Achaier!
345,1,"Jener sprach's; und Patroklos, dem lieben Freunde gehorchend,"
346,1,"Führt' aus dem Zelt, und gab des Brises rosige Tochter"
347,1,Jenen dahin; und sie kehrten zurück zu den Schiffen Achaias.
348,1,Ungern ging mit ihnen das Mägdelein. Aber Achilleus
349,1,"Weinend setzte sich schnell, abwärts von den Freunden gesondert,"
350,1,"Hin an des Meeres Gestad', und schaut' in das finstre Gewässer."
351,1,"Vieles zur trauten Mutter nun flehet er, breitend die Hände:"
352,1,"Mutter, dieweil du mich nur für wenige Tage gebarest,"
353,1,"Sollte mir Ehre doch der Olympier jetzo verleihen,"
354,1,"Der hochdonnernde Zeus! doch er ehret mich nicht, auch ein wenig!"
355,1,"Siehe, des Atreus Sohn, der Völkerfürst Agamemnon,"
356,1,"Hat mich entehrt, und behält mein Geschenk, das er selber geraubet!"
357,1,"Also sprach er betränt; ihn vernahm die treffliche Mutter,"
358,1,Sitzend dort in den Tiefen des Meers beim grauen Erzeuger.
359,1,"Eilendes Schwungs entstieg sie der finsteren Flut, wie ein Nebel;"
360,1,"Und nun setzte sie nahe sich hin vor den Tränenbenetzten,"
361,1,"Streichelt' ihn drauf mit der Hand, und redete, also beginnend:"
362,1,"Liebes Kind, was weinst du? und was betrübt dir die Seele?"
363,1,"Sprich, verhehle mir nichts, damit wir es beide wissen."
364,1,Doch schwerseufzend begann der mutige Renner Achilleus:
365,1,"Mutter, du weißt das alles; was soll ich es dir noch erzählen?"
366,1,"Thebe belagerten wir, Eëtions heilige Feste,"
367,1,"Und verwüsteten sie, und führeten alles von dannen."
368,1,"Redlich teilten den Raub die tapferen Söhne Achaias,"
369,1,Und man erkor dem Atreiden des Chryses rosige Tochter.
370,1,"Chryses darauf, der Priester des treffenden Phöbos Apollon,"
371,1,"Kam zu den rüstigen Schiffen der erzumschirmten Achaier,"
372,1,"Frei zu kaufen die Tochter, und bracht' unendliche Lösung,"
373,1,Tragend den Lorbeerschmuck des treffenden Phöbos Apollon
374,1,"Um den goldenen Stab; und er flehete laut den Achaiern,"
375,1,"Doch den Atreiden vor allen, den zween Feldherrn der Völker."
376,1,"Drauf gebot beifallend das ganze Heer der Achaier,"
377,1,"Ehrend den Priester zu scheun, und die köstliche Lösung zu nehmen."
378,1,"Aber nicht Agamemnon, des Atreus Sohne, gefiel es;"
379,1,"Dieser entsandt' ihn mit Schmach, und befahl ihm drohende Worte."
380,1,Zürnend vernahm es der Greis und wandte sich. Aber Apollon
381,1,"Hörte des Flehenden Ruf, denn sehr geliebt war ihm jener."
382,1,Und nun sandt' er sein Todesgeschoß; und die Völker Achaias
383,1,"Starben in Scharen dahin, da rings die Geschosse des Gottes"
384,1,Flogen im weiten Heere der Danaer. Siehe da weissagt'
385,1,Uns ein kundiger Seher den heiligen Rat des Apollon.
386,1,"Eilend riet ich selber zuerst, den Gott zu versöhnen."
387,1,Aber der Atreion' ereiferte: schnell sich erhebend
388,1,"Sprach er ein drohendes Wort, das nun der Vollendung genaht ist."
389,1,Jene geleiten im Schiff frohblickende Söhne Achaias
390,1,"Heim nach Chrysa zurück, auch bringen sie Gaben dem Herrscher"
391,1,Doch mir nahmen nun eben die Herold' aus dem Gezelte
392,1,"Brises Tochter hinweg, das Ehrengeschenk der Achaier."
393,1,"O wenn du es vermagst, so hilf dem tapferen Sohne!"
394,1,"Steig empor zum Olympos, und flehe Zeus, wenn du jemals"
395,1,"Ihm mit Worten das Herz erfreuetest, oder mit Taten."
396,1,Denn ich habe ja oft dich selbst im Palaste des Vaters
397,1,"Rühmen gehört, wie du einst dem schwarzumwölkten Kronion,"
398,1,"Du von den Göttern allein, die schmähliche Kränkung gewendet,"
399,1,"Als vordem ihn zu binden die andern Olympier drohten,"
400,1,"Here und Poseidaon zugleich, und Pallas Athene."
